"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","names","hgnc_symbol","entrezgene_id"
"2",142.698453776762,-1.60961813608439,0.422291913307014,-3.81162434174809,0.000138056578751867,0.0201392535279264,"ENSG00000000005","TNMD",64102
"115",107.99653828103,-2.00075611459891,0.391989745938365,-5.10410319486648,3.32366878702102e-07,0.00018585689339885,"ENSG00000005981","ASB4",51666
"132",65.2297022695094,-2.67567644403918,0.449237271417553,-5.95604286259724,2.58418581278935e-09,3.4681496398175e-06,"ENSG00000006377","DLX6",1750
"172",6.10503681798355,-1.74718434989555,0.42604948646473,-4.10089533118166,4.11554693681018e-05,0.00876720374443658,"ENSG00000007216","SLC13A2",9058
"272",406.891144272708,-1.20515748272259,0.305324815250815,-3.94713243904722,7.90928100313869e-05,0.0137768098993182,"ENSG00000010932","FMO1",2326
"325",183.513522926641,-1.49925809315964,0.380170799898485,-3.94364347172371,8.02529423328862e-05,0.0138675706618312,"ENSG00000013293","SLC7A14",57709
"380",959.453388383955,-1.1648081427196,0.280114817547043,-4.15832390774536,3.205912264523e-05,0.00737579654824144,"ENSG00000018625","ATP1A2",477
"473",207.941454084982,-1.23773807664429,0.299024406156327,-4.13925435904792,3.48436459057285e-05,0.00770164926088356,"ENSG00000029534","ANK1",286
"480",74.2441930101853,-2.44500275918404,0.348784427739191,-7.0100685831431,2.38201332014047e-12,8.52184029480143e-09,"ENSG00000030304","MUSK",4593
"528",3.73972571902012,-1.65228078742247,0.466111413593514,-3.54481941277539,0.000392882159866331,0.0415144992644333,"ENSG00000036565","SLC18A1",6570
"544",1039.73856473526,-1.03708130310578,0.297399776560625,-3.48716234793261,0.00048817491943056,0.0482921341673544,"ENSG00000038295","TLL1",7092
"935",195.881263646866,-1.6469860409274,0.327217447830364,-5.03330752026778,4.82088839900726e-07,0.000245694441418773,"ENSG00000065618","COL17A1",1308
"1216",265.072510176544,-1.32201992766114,0.325532099691706,-4.06110466191554,4.88410684591594e-05,0.00983219549151337,"ENSG00000073282","TP63",8626
"1296",15.5004753115193,-1.60807322662284,0.387032949851901,-4.1548742225647,3.25466529036342e-05,0.00740335219890464,"ENSG00000075388","FGF4",2249
"1357",40.782283513515,-2.27697904258297,0.485176651274454,-4.69309278713606,2.69105358864858e-06,0.00100321481098305,"ENSG00000077009","NMRK2",27231
"1384",717.698663057426,-2.55105460306024,0.445821990350902,-5.72213721681231,1.05192292685529e-08,1.13173475959867e-05,"ENSG00000077522","ACTN2",88
"1424",1914.16234492214,-2.01469384105789,0.354238114594841,-5.68739996643837,1.28988113279832e-08,1.33162036330067e-05,"ENSG00000078596","ITM2A",9452
"1442",27.5954350065363,-1.01174603381268,0.265663259300164,-3.80837770521195,0.000139881497585916,0.0203017159001602,"ENSG00000079112","CDH17",1015
"1458",18.2227018905753,-2.42465252301102,0.488214897988492,-4.96636324086156,6.82201219973916e-07,0.000339096117513454,"ENSG00000079393","DUSP13B",51207
"1465",7.46017364372952,-2.10776328164734,0.520153091860753,-4.05219792908892,5.07387115486082e-05,0.0101130792295548,"ENSG00000079689","SCGN",10590
"1524",123.804302666801,-1.88642757485601,0.383446907174534,-4.9196578184874,8.66956414395842e-07,0.000408554346024193,"ENSG00000081248","CACNA1S",779
"1557",75.9597611125199,-1.49786272404484,0.27907136421162,-5.36731071737269,7.99193089385279e-08,6.07115323864719e-05,"ENSG00000082293","COL19A1",1310
"1702",426.66578321063,-1.15731124119963,0.283766145481338,-4.0783978625658,4.53471161270344e-05,0.00931513055870745,"ENSG00000086967","MYBPC2",4606
"1722",119.09798909767,-1.45523244042717,0.341823105644033,-4.25726762292837,2.06940577439607e-05,0.00530690543240347,"ENSG00000087250","MT3",4504
"1751",25.509300974861,-1.32667014850737,0.320591946773279,-4.13818925228831,3.50057576558962e-05,0.00770164926088356,"ENSG00000088053","GP6",51206
"2174",61.3711340348597,-1.71528751517025,0.39363180495393,-4.35759380614837,1.31500143603298e-05,0.00370241872850068,"ENSG00000100095","SEZ6L",23544
"2296",187.957315974945,-1.3063758257135,0.33595273867161,-3.88857025211057,0.000100836484013547,0.0163047330094515,"ENSG00000100427","MLC1",23209
"2527",476.972247468962,-1.90471837525817,0.430601300330541,-4.42339206545836,9.71631839785285e-06,0.00289776600988409,"ENSG00000101470","TNNC2",7125
"2584",26.5868340218201,-1.28202602609306,0.281440861788477,-4.55522349507512,5.2329909693034e-06,0.00174124530914127,"ENSG00000101958","GLRA2",2742
"2932",17.5724425630381,-2.58841239506017,0.492918672642111,-5.25119566111368,1.5111505224106e-07,9.81321650537025e-05,"ENSG00000104755","ADAM2",2515
"2959",525.85421541719,-2.20414695256886,0.463150014506215,-4.75903461844603,1.94521074404366e-06,0.000767824264477313,"ENSG00000104879","CKM",1158
"3109",25.5396059838198,-1.94206915425241,0.470374507596682,-4.12877212282434,3.64705630261513e-05,0.00793717734356164,"ENSG00000105605","CACNG7",59284
"3184",75.3092198616572,-2.23648704020455,0.402461340948034,-5.55702327815215,2.74414176090325e-08,2.51101444494288e-05,"ENSG00000105880","DLX5",1749
"3205",15.3600553711433,-2.28502641229346,0.409902959660814,-5.57455455843566,2.48164024810841e-08,2.3236232481242e-05,"ENSG00000105989","WNT2",7472
"3263",12.7168148830977,-2.47794709815296,0.488829971780594,-5.06913904875121,3.99619212609725e-07,0.000214526249841237,"ENSG00000106341","PPP1R17",10842
"3430",76.6450856514255,-1.88631294294142,0.411219234480766,-4.58712235414575,4.49397329926898e-06,0.00153335892351837,"ENSG00000107859","PITX3",5309
"3450",426.665873586194,-1.73761490289754,0.383732828251066,-4.52818934157143,5.94912633683029e-06,0.00193164294010856,"ENSG00000107984","DKK1",22943
"3559",310.039430479041,-2.98708930738014,0.38733549623851,-7.71189146460455,1.23966540240081e-14,8.31856807191023e-11,"ENSG00000108823","SGCA",6442
"3572",79.6341777637153,-3.55107804042973,0.437684496032693,-8.11332837378931,4.92517400905321e-16,4.95743389881251e-12,"ENSG00000108878","CACNG1",786
"3590",971.812840443907,-1.3097564547319,0.353943212960442,-3.70047060311419,0.000215200009008499,0.027076196133438,"ENSG00000109063","MYH3",4621
"3690",81.923888158667,-1.38335853930877,0.287286642989915,-4.8152553314403,1.47011790983411e-06,0.00062967965197597,"ENSG00000109991","P2RX3",5024
"3801",20.7915736599851,-2.08576433631922,0.560787573031633,-3.71934835332303,0.000199737423635877,0.0255296131759609,"ENSG00000111046","MYF6",4618
"3802",57.2563788524789,-3.80437816351946,0.846738343260801,-4.4929796716997,7.02334912300966e-06,0.00217518524915857,"ENSG00000111049","MYF5",4617
"3826",14.5279068251622,-2.6847205567766,0.740759857193757,-3.6242792191078,0.000289768427204246,0.0328638208904151,"ENSG00000111245","MYL2",4633
"4011",3.26568268200399,-1.91552537271286,0.480490852101084,-3.98660112744432,6.70265664820628e-05,0.0122132626976354,"ENSG00000112333","NR2E1",7101
"4075",156.093622996287,-1.48761034369507,0.352067077425615,-4.22536056075671,2.38558504878721e-05,0.00592891513791795,"ENSG00000112837","TBX18",9096
"4268",106.739345227063,-1.03796696329341,0.23158039352905,-4.48210207900524,7.39113722344839e-06,0.00225477833657581,"ENSG00000114646","CSPG5",10675
"4415",36.5099877771592,-1.12382870670997,0.319326190396027,-3.51937529870696,0.000432564332395471,0.0436488850899911,"ENSG00000115590","IL1R2",7850
"4417",177.209932163018,-3.29347007478178,0.691821650992261,-4.76057676145007,1.9304049401575e-06,0.000767824264477313,"ENSG00000115593","SMYD1",150572
"4454",74.3269086794596,-2.01724622595636,0.395092499084425,-5.10575683069423,3.29473157640165e-07,0.00018585689339885,"ENSG00000115844","DLX2",1746
"4560",116.062346606192,-1.01901516036934,0.240894342370788,-4.23013322081619,2.33552956555814e-05,0.00584056468127341,"ENSG00000116690","PRG4",10216
"4799",355.720033867685,-3.02438598339605,0.508455622259604,-5.94818082639252,2.7113896831236e-09,3.52148294909427e-06,"ENSG00000118729","CASQ2",845
"5044",59.9774146354149,-2.09442507583632,0.326563594132989,-6.4135289832197,1.42189067520518e-10,3.0130611771111e-07,"ENSG00000120729","MYOT",9499
"5190",618.779676773919,-4.62195043126852,0.488537024710566,-9.46079866517138,3.05599996432246e-21,1.23040670563551e-16,"ENSG00000122180","MYOG",4656
"5244",261.68119693266,-1.88561372620267,0.36923774847385,-5.10677397962796,3.27705331463959e-07,0.00018585689339885,"ENSG00000122691","TWIST1",7291
"5311",15.1691429094454,-2.77633344230377,0.520657939875695,-5.33235590907651,9.69466898084599e-08,6.84783793871616e-05,"ENSG00000123307","NEUROD4",58158
"5326",708.167489111488,-2.5323461873137,0.561428191406273,-4.51054333586392,6.46617893635847e-06,0.00206620076456877,"ENSG00000123407","HOXC12",3228
"5501",68.9066039075008,-2.10973787556148,0.34323935259716,-6.14655009572154,7.91863211115958e-10,1.38617376547612e-06,"ENSG00000124701","APOBEC2",10930
"5531",158.567959770958,-1.65010762388292,0.450533462288694,-3.66256396472847,0.000249703373921711,0.0301004707809459,"ENSG00000124875","CXCL6",6372
"5532",19.4964273268808,-1.63502941177616,0.354464276485844,-4.61267755381678,3.97514723468268e-06,0.00138947381352837,"ENSG00000124882","EREG",2069
"5577",17.784176454682,-1.31096824608607,0.360444151103943,-3.63709118894267,0.000275734334066549,0.0317189021662497,"ENSG00000125414","MYH2",4620
"5641",48.1280747561734,-2.32432420591795,0.445402250675185,-5.21848329772584,1.80394242534459e-07,0.000113484890514412,"ENSG00000125798","FOXA2",3170
"5676",17.6223375157524,-2.45464128468128,0.502695359987133,-4.88295989989664,1.04505129755991e-06,0.000478134719799513,"ENSG00000125879","OTOR",56914
"5864",167.58497072946,-2.03168235724906,0.333188369416403,-6.09769891070225,1.07606180424652e-09,1.73297601450294e-06,"ENSG00000127743","IL17B",27190
"6022",250.755196548767,-3.75670924116902,0.536589737171793,-7.00108291479732,2.53991564099193e-12,8.52184029480143e-09,"ENSG00000129152","MYOD1",4654
"6065",42.0230429905516,-2.52425374908669,0.422098066711896,-5.98025423037445,2.22789631527047e-09,3.26958086739663e-06,"ENSG00000129514","FOXA1",3169
"6147",30.0149512377712,-1.89485564830357,0.355106635115734,-5.3360187079749,9.50096033625629e-08,6.83085116175626e-05,"ENSG00000130287","NCAN",1463
"6204",440.548504691153,-2.26828025653668,0.412808572319846,-5.49475085701273,3.91262389909731e-08,3.28187632136366e-05,"ENSG00000130598","TNNI2",7136
"6538",54.3960466484163,-1.27195102366026,0.262009542867175,-4.85459807967785,1.20631154508953e-06,0.000533719949762578,"ENSG00000132692","BCAN",63827
"6591",379.557494680479,-2.77089271385637,0.441556728868279,-6.27528136862104,3.49002574157653e-10,7.02577082036772e-07,"ENSG00000133020","MYH8",4626
"6597",410.122255984193,-3.3433741775043,0.583717839469168,-5.72772314196317,1.01787503933507e-08,1.13173475959867e-05,"ENSG00000133055","MYBPH",4608
"6608",7.31674456830736,-1.99189319031638,0.470779681590605,-4.23105173865289,2.32601156894932e-05,0.00584056468127341,"ENSG00000133105","RXFP2",122042
"6653",47.0315777896479,-2.74420211909673,0.486953716118155,-5.63544753487594,1.74604297044235e-08,1.67379004942738e-05,"ENSG00000133454","MYO18B",84700
"6752",48.2952385286462,-1.99846578371894,0.53574939307508,-3.73022500734569,0.000191308845111554,0.0250095510797372,"ENSG00000134240","HMGCS2",3158
"6797",4.62649005839568,-1.95211375109851,0.449984150484085,-4.33818335378805,1.43665280359221e-05,0.00388204799853889,"ENSG00000134443","GRP",2922
"7199",93.9428407780921,-1.06809579831099,0.265914553609781,-4.01668800677373,5.90217801996385e-05,0.0111043687588684,"ENSG00000136689","IL1RN",3557
"7526",90.288195265082,-2.21930055858938,0.405280215670683,-5.47596569676303,4.35131983936672e-08,3.57536406882822e-05,"ENSG00000138347","MYPN",84665
"7787",364.047266391681,-1.36496517251949,0.352972859881279,-3.86705417798577,0.000110157961812332,0.017190619606543,"ENSG00000140015","KCNH5",27133
"7945",177.849449064797,-2.91406383901387,0.451828449722982,-6.44949170597933,1.12225901582594e-10,2.64696108277111e-07,"ENSG00000141161","UNC45B",146862
"7979",157.291950669614,-1.7866094946127,0.42465300766297,-4.20722204334571,2.58529091742499e-05,0.00632870857720516,"ENSG00000141433","ADCYAP1",116
"8137",134.024592506814,-1.74942650392008,0.360867306060636,-4.84783873334906,1.24813796846602e-06,0.000540349794477193,"ENSG00000142661","MYOM3",127294
"8224",26.6955101687781,-1.6375565120708,0.327089103928497,-5.0064538757267,5.54419392023563e-07,0.000279025419520659,"ENSG00000143318","CASQ1",844
"8236",62.3353280211523,-2.04375933013945,0.546656903605022,-3.7386509100343,0.00018501042136448,0.024583794009824,"ENSG00000143355","LHX9",56956
"8281",81.3801079401644,-1.23179271430544,0.315415031873213,-3.90530757836737,9.41056141907119e-05,0.0155281976989608,"ENSG00000143512","HHIPL2",79802
"8310",1310.09528032899,-1.87302964406809,0.492993214140096,-3.79930106611128,0.000145104733447948,0.0207907714522466,"ENSG00000143632","ACTA1",58
"8420",62.6180549189508,-2.07415006900983,0.374575648316437,-5.53733292148669,3.07112432472026e-08,2.74776905693082e-05,"ENSG00000144355","DLX1",1745
"8675",50.2047921270549,-2.45902971443976,0.520649886007154,-4.72300058163457,2.32390184683992e-06,0.00087443865567728,"ENSG00000146147","MLIP",90523
"8676",50.2047921270549,-2.45902971443976,0.520649886007154,-4.72300058163457,2.32390184683992e-06,0.00087443865567728,"ENSG00000146147","MLIP",101927189
"8747",4.30786656138842,-1.66868259198532,0.469141250735645,-3.556887375324,0.000375274946432684,0.0399717457493987,"ENSG00000146809","ASB15",142685
"8813",530.873662421287,-1.26235579053721,0.262408186985715,-4.81065703413409,1.50434957877187e-06,0.000637559186742244,"ENSG00000147255","IGSF1",3547
"8851",6.12650382917659,-2.2624703979794,0.586546290795027,-3.85727509232522,0.000114658097417837,0.0174202427103282,"ENSG00000147571","CRH",1392
"9341",296.43797563499,-1.77456245813487,0.352458543809782,-5.03481186454821,4.78318368187814e-07,0.000245694441418773,"ENSG00000152137","HSPB8",26353
"9368",6584.97127442856,-1.00254865843695,0.244998065078961,-4.0920676582235,4.27543859929375e-05,0.00891354373853332,"ENSG00000152377","SPOCK1",6695
"9443",43.9938552125501,-1.75557795723787,0.311437841826505,-5.63700912818379,1.73028944360919e-08,1.67379004942738e-05,"ENSG00000152954","NRSN1",140767
"9582",791.72447104905,-1.07851567002806,0.265439444752583,-4.06313263288111,4.84184990659356e-05,0.00983219549151337,"ENSG00000154258","ABCA9",10350
